,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Event Name,Event Type,Department,Event Date,Feedback Comments,Overall Satisfaction
133,881,7,9,5,9,4,5,4,8,Cultural Night,Cultural,Student Affairs,18/06/2025,Amazing and very helpful!,6.38
134,488,8,8,6,9,7,4,6,1,Code-a-thon,Tech Fest,Computer Science,22/06/2025,Disorganized and waste of time.,6.13
135,892,5,8,8,9,6,9,10,6,AI Workshop,Workshop,Computer Science,26/06/2025,"It was okay, but could be better.",7.63
136,152,7,2,5,1,5,10,5,6,Robotics Challenge,Tech Fest,Mechanical,30/06/2025,"It was okay, but could be better.",5.13
137,925,7,10,6,7,9,10,1,3,Business Seminar,Seminar,Business,04/07/2025,Disorganized and waste of time.,6.63
138,729,9,9,8,7,5,4,5,5,Cultural Night,Cultural,Student Affairs,08/07/2025,"It was okay, but could be better.",6.50
139,647,5,5,8,8,9,6,9,8,Code-a-thon,Tech Fest,Computer Science,12/07/2025,Amazing and very helpful!,7.25
140,686,8,6,5,5,2,6,5,8,AI Workshop,Workshop,Computer Science,16/07/2025,Amazing and very helpful!,5.63
141,93,9,10,6,4,9,6,7,8,Robotics Challenge,Tech Fest,Mechanical,20/07/2025,Amazing and very helpful!,7.38
142,485,8,4,7,1,4,7,1,4,Business Seminar,Seminar,Business,24/07/2025,Disorganized and waste of time.,4.50
143,59,5,8,5,6,10,3,4,10,Cultural Night,Cultural,Student Affairs,28/07/2025,Amazing and very helpful!,6.38
144,907,10,4,7,6,1,2,5,1,Code-a-thon,Tech Fest,Computer Science,01/08/2025,Disorganized and waste of time.,4.50
145,158,10,6,5,6,2,10,3,8,AI Workshop,Workshop,Computer Science,05/08/2025,Amazing and very helpful!,6.25
146,955,10,4,4,1,10,1,10,10,Robotics Challenge,Tech Fest,Mechanical,09/08/2025,Amazing and very helpful!,6.25
147,758,8,3,7,7,9,6,7,5,Business Seminar,Seminar,Business,13/08/2025,"It was okay, but could be better.",6.50
148,605,6,4,4,4,7,5,5,2,Cultural Night,Cultural,Student Affairs,17/08/2025,Disorganized and waste of time.,4.63
149,475,10,6,4,9,3,1,6,7,Code-a-thon,Tech Fest,Computer Science,21/08/2025,"It was okay, but could be better.",5.75
150,154,9,7,4,8,2,6,3,9,AI Workshop,Workshop,Computer Science,25/08/2025,Amazing and very helpful!,6.00
151,79,6,4,6,6,6,4,9,10,Robotics Challenge,Tech Fest,Mechanical,29/08/2025,Amazing and very helpful!,6.38
152,36,10,6,5,2,1,9,9,6,Business Seminar,Seminar,Business,02/09/2025,"It was okay, but could be better.",6.00
153,562,6,3,6,7,8,7,4,1,Cultural Night,Cultural,Student Affairs,06/09/2025,Disorganized and waste of time.,5.25
154,231,10,7,8,1,3,3,3,3,Code-a-thon,Tech Fest,Computer Science,10/09/2025,Disorganized and waste of time.,4.75
155,869,8,7,6,2,9,4,1,7,AI Workshop,Workshop,Computer Science,14/09/2025,"It was okay, but could be better.",5.50
156,608,7,4,6,5,4,7,8,7,Robotics Challenge,Tech Fest,Mechanical,18/09/2025,"It was okay, but could be better.",6.00
157,846,10,7,7,4,7,10,7,1,Business Seminar,Seminar,Business,22/09/2025,Disorganized and waste of time.,6.63
158,542,10,4,7,7,2,2,5,9,Cultural Night,Cultural,Student Affairs,26/09/2025,Amazing and very helpful!,5.75
159,941,9,3,7,2,9,7,3,1,Code-a-thon,Tech Fest,Computer Science,30/09/2025,Disorganized and waste of time.,5.13
160,919,10,2,8,5,6,3,8,5,AI Workshop,Workshop,Computer Science,04/10/2025,"It was okay, but could be better.",5.88
161,352,6,2,6,3,5,3,8,6,Robotics Challenge,Tech Fest,Mechanical,08/10/2025,"It was okay, but could be better.",4.88
162,839,9,2,5,10,4,4,9,1,Business Seminar,Seminar,Business,12/10/2025,Disorganized and waste of time.,5.50
163,266,8,8,5,6,6,8,2,2,Cultural Night,Cultural,Student Affairs,16/10/2025,Disorganized and waste of time.,5.63
164,298,8,4,8,9,7,1,7,3,Code-a-thon,Tech Fest,Computer Science,20/10/2025,Disorganized and waste of time.,5.88
165,929,10,2,6,1,1,9,9,7,AI Workshop,Workshop,Computer Science,24/10/2025,"It was okay, but could be better.",5.63
166,574,6,4,8,5,9,5,7,10,Robotics Challenge,Tech Fest,Mechanical,28/10/2025,Amazing and very helpful!,6.75
167,250,5,7,7,3,1,6,3,1,Business Seminar,Seminar,Business,01/11/2025,Disorganized and waste of time.,4.13
168,616,9,8,6,9,6,3,5,8,Cultural Night,Cultural,Student Affairs,05/11/2025,Amazing and very helpful!,6.75
169,164,8,5,7,10,8,9,10,1,Code-a-thon,Tech Fest,Computer Science,09/11/2025,Disorganized and waste of time.,7.25
170,827,6,3,4,9,7,8,7,6,AI Workshop,Workshop,Computer Science,13/11/2025,"It was okay, but could be better.",6.25
171,228,7,6,6,1,6,6,6,9,Robotics Challenge,Tech Fest,Mechanical,17/11/2025,Amazing and very helpful!,5.88
172,787,10,10,5,10,1,9,3,8,Business Seminar,Seminar,Business,21/11/2025,Amazing and very helpful!,7.00
173,317,8,8,4,1,10,10,9,1,Cultural Night,Cultural,Student Affairs,25/11/2025,Disorganized and waste of time.,6.38
174,110,9,6,4,1,4,7,9,5,Code-a-thon,Tech Fest,Computer Science,29/11/2025,"It was okay, but could be better.",5.63
175,165,6,2,6,2,2,10,2,2,AI Workshop,Workshop,Computer Science,03/12/2025,Disorganized and waste of time.,4.00
176,701,5,9,7,1,9,9,1,9,Robotics Challenge,Tech Fest,Mechanical,07/12/2025,Amazing and very helpful!,6.25
177,362,7,9,6,7,4,8,1,2,Business Seminar,Seminar,Business,11/12/2025,Disorganized and waste of time.,5.50
178,890,8,7,5,3,9,1,4,5,Cultural Night,Cultural,Student Affairs,15/12/2025,"It was okay, but could be better.",5.25
179,728,10,9,4,8,5,2,3,10,Code-a-thon,Tech Fest,Computer Science,19/12/2025,Amazing and very helpful!,6.38
180,466,9,8,5,5,6,2,10,4,AI Workshop,Workshop,Computer Science,23/12/2025,Disorganized and waste of time.,6.13
181,709,9,3,6,4,4,8,10,1,Robotics Challenge,Tech Fest,Mechanical,27/12/2025,Disorganized and waste of time.,5.63
182,482,10,3,4,3,10,1,8,5,Business Seminar,Seminar,Business,31/12/2025,"It was okay, but could be better.",5.50
183,406,9,10,6,1,6,1,9,2,Cultural Night,Cultural,Student Affairs,04/01/2026,Disorganized and waste of time.,5.50
184,66,8,5,8,7,6,1,9,9,Code-a-thon,Tech Fest,Computer Science,08/01/2026,Amazing and very helpful!,6.63
185,862,6,5,6,5,7,2,10,8,AI Workshop,Workshop,Computer Science,12/01/2026,Amazing and very helpful!,6.13
186,61,9,8,6,5,3,10,6,6,Robotics Challenge,Tech Fest,Mechanical,16/01/2026,"It was okay, but could be better.",6.63
187,111,7,9,7,1,10,10,3,10,Business Seminar,Seminar,Business,20/01/2026,Amazing and very helpful!,7.13
188,147,6,8,4,6,9,6,8,7,Cultural Night,Cultural,Student Affairs,24/01/2026,"It was okay, but could be better.",6.75
189,211,7,4,4,3,7,8,7,10,Code-a-thon,Tech Fest,Computer Science,28/01/2026,Amazing and very helpful!,6.25
190,996,6,5,6,10,8,7,8,4,AI Workshop,Workshop,Computer Science,01/02/2026,Disorganized and waste of time.,6.75
191,459,8,5,8,6,6,1,8,4,Robotics Challenge,Tech Fest,Mechanical,05/02/2026,Disorganized and waste of time.,5.75
192,81,5,5,6,5,7,3,9,5,Business Seminar,Seminar,Business,09/02/2026,"It was okay, but could be better.",5.63
193,288,5,9,6,9,4,4,2,6,Cultural Night,Cultural,Student Affairs,13/02/2026,"It was okay, but could be better.",5.63
194,6,7,10,8,3,3,4,1,2,Code-a-thon,Tech Fest,Computer Science,17/02/2026,Disorganized and waste of time.,4.75
195,547,6,6,8,5,1,2,2,8,AI Workshop,Workshop,Computer Science,21/02/2026,Amazing and very helpful!,4.75
196,30,6,2,7,5,1,10,9,10,Robotics Challenge,Tech Fest,Mechanical,25/02/2026,Amazing and very helpful!,6.25
197,445,9,4,4,2,4,8,1,6,Business Seminar,Seminar,Business,01/03/2026,"It was okay, but could be better.",4.75
198,591,6,9,8,5,10,6,2,10,Cultural Night,Cultural,Student Affairs,05/03/2026,Amazing and very helpful!,7.00
199,770,10,10,5,7,10,7,7,10,Code-a-thon,Tech Fest,Computer Science,09/03/2026,Amazing and very helpful!,8.25
200,484,9,6,8,10,3,2,8,4,AI Workshop,Workshop,Computer Science,13/03/2026,Disorganized and waste of time.,6.25
201,180,8,4,4,1,6,9,6,1,Robotics Challenge,Tech Fest,Mechanical,17/03/2026,Disorganized and waste of time.,4.88
202,946,5,5,5,6,1,3,10,5,Business Seminar,Seminar,Business,21/03/2026,"It was okay, but could be better.",5.00
203,901,9,8,6,1,2,9,8,2,Cultural Night,Cultural,Student Affairs,25/03/2026,Disorganized and waste of time.,5.63
204,517,10,5,7,7,5,10,6,5,Code-a-thon,Tech Fest,Computer Science,29/03/2026,"It was okay, but could be better.",6.88
205,545,9,4,8,1,8,6,2,4,AI Workshop,Workshop,Computer Science,02/04/2026,Disorganized and waste of time.,5.25
206,918,8,3,8,9,9,1,6,1,Robotics Challenge,Tech Fest,Mechanical,06/04/2026,Disorganized and waste of time.,5.63
207,652,8,3,4,8,3,2,2,3,Business Seminar,Seminar,Business,10/04/2026,Disorganized and waste of time.,4.13
208,471,10,10,4,8,2,2,4,7,Cultural Night,Cultural,Student Affairs,14/04/2026,"It was okay, but could be better.",5.88
209,323,6,8,7,5,4,1,9,3,Code-a-thon,Tech Fest,Computer Science,18/04/2026,Disorganized and waste of time.,5.38
210,276,8,5,7,9,1,10,1,2,AI Workshop,Workshop,Computer Science,22/04/2026,Disorganized and waste of time.,5.38
211,672,7,8,5,6,5,10,5,10,Robotics Challenge,Tech Fest,Mechanical,26/04/2026,Amazing and very helpful!,7.00
212,337,10,7,6,8,9,5,1,1,Business Seminar,Seminar,Business,30/04/2026,Disorganized and waste of time.,5.88
213,468,7,7,8,4,2,1,5,10,Cultural Night,Cultural,Student Affairs,04/05/2026,Amazing and very helpful!,5.50
214,380,8,8,4,8,2,4,9,2,Code-a-thon,Tech Fest,Computer Science,08/05/2026,Disorganized and waste of time.,5.63
215,755,9,8,7,2,9,6,3,7,AI Workshop,Workshop,Computer Science,12/05/2026,"It was okay, but could be better.",6.38
216,267,8,9,4,4,8,4,8,1,Robotics Challenge,Tech Fest,Mechanical,16/05/2026,Disorganized and waste of time.,5.75
217,598,9,3,4,9,3,4,5,1,Business Seminar,Seminar,Business,20/05/2026,Disorganized and waste of time.,4.75
218,128,6,2,6,1,9,3,9,2,Cultural Night,Cultural,Student Affairs,24/05/2026,Disorganized and waste of time.,4.75
219,444,8,2,6,10,7,2,4,8,Code-a-thon,Tech Fest,Computer Science,28/05/2026,Amazing and very helpful!,5.88
220,572,6,5,4,4,8,6,8,9,AI Workshop,Workshop,Computer Science,01/06/2026,Amazing and very helpful!,6.25
221,319,8,3,6,6,7,10,8,4,Robotics Challenge,Tech Fest,Mechanical,05/06/2026,Disorganized and waste of time.,6.50
222,390,8,6,7,5,1,4,3,9,Business Seminar,Seminar,Business,09/06/2026,Amazing and very helpful!,5.38
